imie_i_nazwisko,sciezka,dzien,temat,bio,plik_zdjecia
"Wojciech Kasa","IT","2","Residuality Theory na produkcji. Jak przewidzieć awarię, zanim wydarzy się naprawdę.","Wojtek od ponad 20 lat pracuje w branży IT. Uważa, że większość błędów architektonicznych nie wynika ze złych decyzji technicznych, ale z pytań, których nikt nie zadał wystarczająco wcześnie. Dlatego, zanim zaproponuje jakiekolwiek rozwiązanie, stara się zrozumieć, co tak naprawdę boli i czy w ogóle warto to budować. Na co dzień Lead Architect w MAK IT i współzałożyciel Arpeggia Studio, butikowej firmy konsultingowej działającej pod hasłem „compose before you code”. Arpeggia pomaga organizacjom myśleć architektonicznie, optymalizować procesy wytwarzania oprogramowania oraz prowadzi szkolenia dla architektów i zespołów deweloperskich. Zwycięzca O'Reilly Architectural Kata (edycja Winter 2024).","zdjecia/wojciech-kasa.jpg"
"Michał Franc","IT","1","Rola developera w czasach AI","Michał Franc to principal engineer z 18-letnim doświadczeniem, który przeszedł całą drogę od juniora aż po principala w firmach produktowych, takich jak JustEat, JustGiving, Form3 i Affirm. Widzi swoją rolę jako architekta na dwóch poziomach: systemów oraz organizacji i sposobu, w jaki pracują ludzie. Budował skalowalne, niezawodne systemy rozproszone o globalnej skali, obsługujące dziesiątki milionów użytkowników i przetwarzające miliardy dolarów (Cloud Native, AWS, Platform Engineering, SRE, DevOps). Przede wszystkim jest jednak zorientowany na generowanie wartości biznesowej. Po godzinach hobbystycznie pisze gry (mfranc.com/game), dużo w nie gra i jest fanatykiem vima, Dwarf Fortress oraz CDDA.","zdjecia/michal-franc.jpg"
"Jakub Sikora","IT","2","Przejęliśmy drony i wywaliliśmy je z mapy. To samo mogę zrobić z Twoją zabezpieczoną usługą","Jakub buduje systemy zaufania dla pieniędzy i rozbiera je dla sportu. Na co dzień jest VP Engineering w fintechu na etapie Series B, czyli w Circit Ltd., które dostarcza globalnym firmom audytorskim i bankom infrastrukturę zgodną z SOC 2 i certyfikowaną przez SWIFT, a kiedy trzeba, także nocą, wciela się w CyberLegionistę. Na Programistoku pokaże, co się dzieje, gdy bezpieczna komunikacja między usługami okazuje się ani autentyczna, ani prawdziwa, i dlaczego następne w kolejce jest Twoje API. Mówi z niewygodnej przestrzeni między formalną zgodnością z wymogami bezpieczeństwa a realnie sprawdzoną odpornością systemu.","zdjecia/jakub-sikora.jpg"
"Łukasz Kałużny","Biznes","1","AI bez szamanów — reality check","Technology Advisor i Managing Partner w Protopia. Zajmuje się technologią wtedy, kiedy jest jeszcze „za wcześnie”, a nie wtedy, kiedy już każdy ma na to slajd: Azure od 2013, kontenery od 2014 (Docker/Kubernetes), a LLM-y dłubał jeszcze przed erą ChatGPT. Lubi sprawdzać trendy w praktyce: co realnie dowozi wartość, co generuje dług, a co jest tylko ładną ściemą. W projektach kręci się wokół architektury, platform chmurowych, danych i automatyzacji, a także tego, jak to wszystko poskładać, żeby działało w rzeczywistości, a nie tylko na diagramie. Ma słabość do rozbrajania hype'u i opowieści z LinkedIna: od „AI-szamanii” po modne hasła, które dobrze wyglądają w poście, a gorzej w produkcji. Zwykle interesuje go moment, w którym kończy się magia, a zaczyna koszt, ryzyko i odpowiedzialność. Microsoft MVP nieprzerwanie od 2012. Współtwórca podcastu Patoarchitekci.","zdjecia/lukasz-kaluzny.jpg"
"Oleksandr Lysenko","IT","2","The Human vs. the LLM: Measuring AI Efficiency","Oleksandr pracuje w R&D, zajmuje się AI i rozwiązywaniem złożonych problemów wokół danych finansowych i audytowych. Ma ponad 10 lat doświadczenia w inżynierii oprogramowania, zdobytego w fintechu, obszarze finansów i ryzyka oraz przy systemach danych dużej skali. Przez lata budował platformy integracji bankowej łączące tysiące instytucji finansowych, pracował przy potokach danych o dużej skali i rozwijał rozwiązania oparte na ML oraz LLM. Dziś skupia się głównie na tym, jak zastosować AI do realnych problemów inżynierskich i biznesowych oraz jak zamieniać obiecujące pomysły w systemy produkcyjne.","zdjecia/oleksandr-lysenko.jpg"
"Radek Maziarka","IT","1","Context Engineering: architektura wiedzy dla efektywnego dostarczania","Engineering Consultant z ponad 10-letnim doświadczeniem w branży. Pracuje przy pełnym zakresie tworzenia produktów cyfrowych, od budowy zespołów i organizacji, przez definiowanie celów i analizę wymagań, po tworzenie produktu cyfrowego i jego utrzymanie na produkcji. Zwolennik pracy zwinnej i automatyzacji procesów.","zdjecia/radek-maziarka.jpg"
"Kamil Kiełbasa","IT","2","Czy potrzebujemy jeszcze architektów?","Kamil od piętnastu lat ogląda systemy od środka, zwykle w momencie, w którym coś już poszło nie tak. Twierdzi, że większość długu architektonicznego to nie zły kod, tylko granice postawione w miejscu, które wtedy wydawało się oczywiste. Architekt i konsultant, Technical Lead w Jit Team. Budował hurtownie danych, rozbierał monolity, skalował zespoły od zera do kilkunastu osób i wprowadzał Event Storming tam, gdzie wcześniej istniały wyłącznie specyfikacje. DDD, systemy rozproszone, .NET, AWS, Kubernetes, ale najchętniej rozmawia o tym, dlaczego zespoły podejmują decyzje, które później same przeklinają. Prowadzi bd90.pl i newsletter „The Architect's Edge”, współorganizuje Warsaw Software Architecture Group. Kolekcjonuje certyfikaty chmurowe, choć sam przyznaje, że żaden nie uchronił go przed nieudanym wdrożeniem. Gra na gitarze, ma słabość do doom metalu.","zdjecia/kamil-kielbasa.jpg"
"Hubert Łępicki","IT","2","Inżynieria oprogramowania w dobie agentów AI","Hubert jest programistą z blisko dwudziestoletnim doświadczeniem. W swojej pracy zaczynał od PHP i Ruby on Rails, tworzył systemy w języku Elixir, a od początku roku 2026 programuje wyłącznie przy użyciu agentów AI.","zdjecia/hubert-lepicki.jpg"
"Grzegorz Wilczura","IT","2","Czy potrzebujemy jeszcze architektów?","Inżynier oprogramowania z zamiłowania. Pracował jako programista, architekt, lider zespołu, kierownik działu technologicznego, a teraz ponownie jako programista. Przez większość kariery zawodowej związany z obszarem finansowo-bankowym, ale miał też okazję pracować w sektorze transportu, turystyki, telekomunikacji i e-commerce. Obecnie skoncentrowany na projektowaniu wydajnego i trwałego oprogramowania niezależnie od architektury czy infrastruktury.","zdjecia/grzegorz-wilczura.jpg"
"Marcin Iwanowski","IT","1","Kiedy AI to za mało: Quantum","Microsoft MVP w kategorii Azure Application PaaS, współwłaściciel 4BEARS Sp. z o.o. dostarczającej ekspertów w swojej dziedzinie zachodnim rynkom IT, konsultant w SoftwareONE AG. Wcześniej programista, team leader, project manager, kierownik działów w organizacjach różnej wielkości, od kilkunastu do ponad stu tysięcy pracowników. Aktywny trener współpracujący z największymi ośrodkami edukacyjnymi w Polsce. Wykładowca Warszawskiej Wyższej Szkoły Informatyki. Lider społeczności bstok.ms i lublin.ms, prelegent wielu wydarzeń ogólnopolskich. Od 2010 roku magister inżynier informatyki, absolwent Politechniki Białostockiej.","zdjecia/marcin-iwanowski.jpg"
